urn	text
urn:cts:greekLit:tlg5026.msA.normed:7.201.lemma	‡ επισπειν·
urn:cts:greekLit:tlg5026.msA.normed:7.201.comment	ως επιπλειν μονοσυλλαβον γαρ το σπειν απαρεμφατον· παν δε απαρεμφατον συντιθεμενον φυλασσει τον αυτον τονον.⁑
urn:cts:greekLit:tlg5026.msA.normed:7.202.lemma	ως γαρ εγων·
urn:cts:greekLit:tlg5026.msA.normed:7.202.comment	αθετειται δια γαρ της μαντικης αυτων συνηκεν ως ειρηται ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.203.lemma	μεσου δουρος ελων·
urn:cts:greekLit:tlg5026.msA.normed:7.203.comment	μεσου του δορατος επιλαβομενος· προς ενδειξιν του μη προς πολεμικην χρησιν εχειν αυτο αλλα προς εμφασιν του διαλεχθηναι: εδει δε ειπειν μεσον λαβων το δορυ ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.204.lemma	ποντον επι φριξ·
urn:cts:greekLit:tlg5026.msA.normed:7.204.comment	ο ασκαλωνιτης αναστρεφει επι ποντον ουτως και οι αλλοι: και αμεινον ουδεν γαρ εσται το επιφριξ χωρις ει μη παρελκη η προθεσις. οπερ ου πιθανον. ου γαρ κατεπειγει· φριξ δε η εξ επιπολης κινησις του κυματος αρχομενου, η το επιπολαζον τω κυματι αφρωδες οτ αν ανεμος αρχηται πνειν· βελτιον δε την πρωτην εγερσιν των κυματων ακουειν. φρισσει τις φοβω η ψυχει η οργη, εμψυχως ουν τας φαλαγγας φρισσειν φησιν ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.205.lemma	ορνυμενοιο νεον μελανει δε τε ποντος
urn:cts:greekLit:tlg5026.msA.normed:7.205.comment	οτι εαν μεν γραφηται ποντος υπ αυτου εσται μελαινεται ο ποντος υπο του ζεφυρου εαν δε ποντον υπ αυτη , εσται μελαινει δε τον ποντον ο ζεφυρος υπο τη φρικη ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.206.lemma	μελανει·
urn:cts:greekLit:tlg5026.msA.normed:7.206.comment	ως οιδανει ο ασκαλωνιτης εκ γαρ του μελαινει φησιν ενδεια του ι εγενετο ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.207.lemma	υμιν μεν γαρ εασιν·
urn:cts:greekLit:tlg5026.msA.normed:7.207.comment	αι αρισταρχου ουτως· υμιν δ' εν γαρ εασι . και εστι το εξης υμιν δ' ενεισι γαρ η εν υμιν δε εισι γαρ αριστηες ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.208.lemma	δευρ' ιτω·
urn:cts:greekLit:tlg5026.msA.normed:7.208.comment	οτι ιδιως ως περι ετερου και οτι προμον τον προμαχον κατα συγκοπην· και οτι ακαιρως διον εαυτον ο εκτωρ ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.301.lemma	‡ ωδε δε μυθεομαι·
urn:cts:greekLit:tlg5026.msA.normed:7.301.comment	οτι ουτως λεγει ο μαρτυρος αφ ου οι μαρτυροι απο δε του μαρτυες μαρτυρες ·
urn:cts:greekLit:tlg5026.msA.normed:7.302.lemma	σωμα δε οικαδ' εμον
urn:cts:greekLit:tlg5026.msA.normed:7.302.comment	οτι καθολου δια πυρος οιδεν γινομενας τας ταφας·
urn:cts:greekLit:tlg5026.msA.normed:7.303.lemma	οφρα ε ταρχεσωσι καρη κομοωντες αχαιοι
urn:cts:greekLit:tlg5026.msA.normed:7.303.comment	διαστολαι αχαιοι ελλησποντω και κοινον κατα παντων το οφρα ινα ταρχυσωσι και χεωσι και ειπη ποτε τις
urn:cts:greekLit:tlg5026.msA.normed:7.304.lemma	ταρχυσωσι θαψωσι·
urn:cts:greekLit:tlg5026.msA.normed:7.304.comment	ταρχεα τα νενομισμενα τοις νεκροις απο της ταραχης ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.305.lemma	σημα τε οι χευσωσι
urn:cts:greekLit:tlg5026.msA.normed:7.305.comment	οτι ου καπεκομιζετο τα οστα εις τας πατριδας πλατει δε καθ ο μερος εστι πλατυς · και αντι του παρα πλατει ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.306.comment	αθαμας ο αιολου μεν παις· βασιλευς δε θηβων γημας νω την καδμου παιδα παιδας εσχεν δυο λεαρχον και μελικερτην · κατα ηρας δε προσταγμα αποπεμψαμενος την ηνω και επιγημας· νεφελη εσχεν εξ αυτης δυο παιδας ελλην τε και φριξον · μιγνυμενον δε αυτον λαθρα τη ινοι , καταπτευσασα η νεφελη ωχετο· παλιν δε της οικιας επικρατησασα η ινω επεβουλευσε τοις της νεφελης παισιν· ευρουσα δε τινα μηχανην εφρυγε τα σπερματα και δη πολλης ουσης ακαρπιας εν τη χωρα επεμπον οι αθηναιοι εις πυθω θεοπροπους· η δε ινω συνεπεισε τουτους τεχνησασθαι τινα χρησμον κατα του φριξου ως θυμα της αυτου ρ γονης λαβειν. απαλλαγησεσθαι δε και του δεινου· πυθομενος ουν παρα των θεοπροπων ο αθαμας το λογιον μετα πεμπεται εκ των αγρων τον φριξον · προφασιν δε εκελευσεν αυτον αγειν οτι καλλιστον προβατον εν τοις θρεμμασιν εις ιερουργιαν υπαρχει· θυμολογειται δε οτι παραγενομενω τω φριξω μετα της αδελφης κατα τινος δαιμονος επιφανειαν· ανθρωπινη φωνη λαλησαι τον κριον και πασαν αυτω την επιβουλην αναγγειλαι. κελευσαι τε αυτω μετα της αδελφης περικαθισαι τα νωτα οπως τον επικειμενον κινδυνον εκφυγειν δυνηθωσιν, οις και γενομενου λεγεται τον κριον μετα πολλης βιας δια μεσου του αερος ποιησασθαι την πορειαν· την δε ελλην μη δυναμενην αντεχειν καταπεσειν εις το υποκειμενον πελαγος προσαγορευθηναι δε δια την προειρημενην ελλησποντον · τον δε κριον κομισαντα εις κολχους εκ του ποντου τον φριξον τελευτησαι επι τουτω λεγεται το δερας τους αργοναυτας αποσταληναι απο της θετταλιας μετα ιασονος . τον δε αθαμαντα πυθομενον φασιν εκαστον των συντεθεντων υπο της ινους μη φεισασθαι μηδε των εξ αυτης γεννομενων αυτω παιδων. αλλ αυτοχειρι μεν αποκτειναι λεαρχον · επιδιωξαι δε μετα ξιφους και της ινω . την δε καταλαμβανομενην σωτηριαν επισπασασθαι συν τω υιει ριψασαν εαυτην εις την θαλασσαν· και τυχειν εκ θεων των εναλιων τιμων · υστερον δε αυτην προσαγορευθηναι δια τον εκ της θαλασσης αφρον λευκοθεαν τον δε μελικερτην παλαιμονα ειναι δε αυτον απτηρα των το πελαγος πλεοντων ανθρωπων · η ιστορια παρα φιλοστεφανω ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.307.lemma	νεικει ονειδιζων·
urn:cts:greekLit:tlg5026.msA.normed:7.307.comment	εν τισι των υπομνηματων νεικε ονειδιζων εξω του ι ωστε κατα συναλιφην νοεισθαι το υγιες νεικεε ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.308.lemma	αιδεσθεν μεν ανηνασθαι·
urn:cts:greekLit:tlg5026.msA.normed:7.308.comment	αιδες μεν. δειλων γαρ. δεισαν δε δια τας σπονδας· η περιμενοντες κελευσιν ως δηλον επι των εξης η υπο θεου ωρμησθαι αυτον υπονοουντες· η δια το νυξ δ' ηδη τελεθει και παροιμια, ο τοι θρασυς προς εργον εκ πολλου κακος : ο επιχαρμος , ο τοι κακος θαρρει μαλ' αυτοθεν επειτα φευγει . εστιν δε το υπο ισοκωλον ο περ εστι φρασις δυο η πλειονων κωλων απηκριβωμενων αλληλοις προς αντιστροφου εμφερειαν. δευτερον δε χρη ξεινον παρεοντα · τριτον, ομοιοπτωτον. και ομοτονον· υλλω επ' ιχθυοεντι τινες δεισαντος αγαμεμνονα ως και σιγη δειδιοτες ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.309.lemma	απειλητηρες ·
urn:cts:greekLit:tlg5026.msA.normed:7.309.comment	καυχησται, απειλειν ειδοτες επαγγελλεσθαι τους δε τοιουτους και καυχηματιας λεγουσιν εν αλλω υβρισται ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.310.lemma	υδωρ και γαια γενοισθε·
urn:cts:greekLit:tlg5026.msA.normed:7.310.comment	αναλυθειητε εις υδωρ και γην. διαλυθειητε και αποθανοιτε· βελτιον δε ακουειν εξ ων εγενεσθε εις ταυτα παλιν αναστοιχειωθειητε, των στοιχειων υδωρ και γη κατα φυσιν ακινητα· τα δε αλλα κινητα δι εαυτων· ταυτα ουν φησι, την ακινησιαν ονειδιζων. και ξενοφανης · παντες γαρ γαιης τε και υδατος εκγενομεθα εκ γης γαρ παντα και εις γην τελευτα η οτι το υδωρ τας ψυχας διαφθειρει ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.401.lemma	‡ νικης πειρατ' εχοντα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.401.comment	οτι το απηρτισμενω κεχρηται νικης πειρατ' εχονται ουκ εχεται ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.402.lemma	ενθα κε τοι μενελαε φανη βιωτοιο τελευτη ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.402.comment	γραφεται και θανατοιο τελευτη οιον θανασιμον τελος ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.403.lemma	ανα δε σχεο·
urn:cts:greekLit:tlg5026.msA.normed:7.403.comment	το σχεω την οξειαν ισχει εφ εαυτου νυν. οταν μεντοι απολαβη την προθεσιν το τηνικαυτα αναπεμπειν τον τονον ανασχεο ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.404.lemma	αφραινεις μενελαε ·
urn:cts:greekLit:tlg5026.msA.normed:7.404.comment	παραφρονεις μωραινεις ασυνετεις: φιλοδοξως γαρ ου φρονιμως επι τη μαχη εσπουδακεν. δει ουν το κατα δυναμιν ου το κατα προθυμιαν σκοπειν
urn:cts:greekLit:tlg5026.msA.normed:7.405.lemma	ειπερ αδειης τ' εστι·
urn:cts:greekLit:tlg5026.msA.normed:7.405.comment	γραφεται και δια του γε αδειης γε . αφ' ετερας δε αρχης, ταυτα δι οπερ υποστικτεον ακορητος ο γαρ λογος ει και πανυ αφοβος και απληρωτος πολεμου εστιν αγαπητως υπολαμβανω αυτον φευξεσθεαι ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.406.lemma	γονυ καμψειν·
urn:cts:greekLit:tlg5026.msA.normed:7.406.comment	αναπαυσεσθαι η συγκαμψαι τα γονατα δια το κεκοπωσθαι εν τω διωκεσθαι ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.407.lemma	ερριγ' αντιβολησαι
urn:cts:greekLit:tlg5026.msA.normed:7.407.comment	γραφεται και δια του μ αντιμολησαι · βελτιον δ' αρ φασιν ειρητο ομηρω ο περ μεγα φερτατος εστιν επ αυτου γαρ ψιλως λεγομενον του μενελαου εχει τι ονειδιστικον ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1000.lemma	‡ ος ποτε μ' ειρομενος·
urn:cts:greekLit:tlg5026.msA.normed:7.1000.comment	οτι ζηνοδοτος γραφει μεγα δ' εστενεν εξ ου φανερος εστιν ανεγνωκως μειρομενος οιον στερομενος : ο δε ομηρος το μειρεσθαι ουκ επι του στερεσθαι τιθησιν. αλλ επι του μεριζεσθαι , και ημισυ μειρεο τιμης: δεον ουν ειρομενος ερωτων προκρινει δε ο αρισταρχος την μεγ' γηθεεν γραφην ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1001.lemma	ος ποτε μ' ειρομενος
urn:cts:greekLit:tlg5026.msA.normed:7.1001.comment	το πληρες εμε ειρομενος τε ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1002.lemma	γενεην τε τοκον τε·
urn:cts:greekLit:tlg5026.msA.normed:7.1002.comment	πατερα και παιδα το μεν γαρ επαινειν τους προγονους κολακικον: το δε λεγειν οτι μεμαρτυρηκα υμιν ευγενειαν επι φθονον ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1003.lemma	ακουσαι·
urn:cts:greekLit:tlg5026.msA.normed:7.1003.comment	αειρας παροξυτονητεον αμφοτερα εφαμεν γαρ την αι διφθογγον εν ευκτικοις μακραν ειναι ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1004.lemma	ανα χειρας αειρας·
urn:cts:greekLit:tlg5026.msA.normed:7.1004.comment	εν ταις εξητασμεναις αρισταρχου βαρειας χειρας τας βεβαρημενας υπο γηρως νυν και δυσκινητους. αλλαχου δε τας ερρωμενας βαρειας χειρας εποισειν ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1005.lemma	ηβωμ:
urn:cts:greekLit:tlg5026.msA.normed:7.1005.comment	οτι ιδιως τα επιθετα προ ταξας το κυριον επηγαγεν ιορδανου αμφι ρεεθρα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1006.lemma	φειας παρ τειχεσσιν·
urn:cts:greekLit:tlg5026.msA.normed:7.1006.comment	οτι εν πληθυντικως: η δε θεαις επεβαλλεν επειγομενη διος ουρω ως μυκηνην και μυκηνας ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1007.lemma	φειας ·
urn:cts:greekLit:tlg5026.msA.normed:7.1007.comment	περισπαστεον ενικη γαρ εστι γενικη προδηλον κακ της συνταξεως του τειχεσσι παρα τοις της φειας τειχεσι. φεα δε πολις της , οι δε της αρκαδιας . παρ ην ο ιορδανης ρει. αλλα και η φεια παραθαλασσιος εστι και ιαρδανος ουχ οραται ποταμος αυτοθι. αμεινον ουν ως διδυμος φηρα σπαρτη και δαρδανου αμφι ρεεθρα ουτω γαρ και φερεκυδης ιστορει ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1008.lemma	διου αρηιθοου:
urn:cts:greekLit:tlg5026.msA.normed:7.1008.comment	οτι πυκναι εν αι επαναληψεις απαξ δε εν και οτι ουτως ο αρηιθοος αρκας ων ομωνυμος εστι τω βοιωτω ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1009.lemma	ουνεκ αρ, ου τοξοισι μαχεσκετο
urn:cts:greekLit:tlg5026.msA.normed:7.1009.comment	τοις επανω συναπτεον αιτια γαρ της του κορυνητου ονομασιας αυτη και των εξης δε, ομοιως συναπτειν δει αλλα σιδηρειη κορυνη βραχυ μονον διαστελλοντα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1010.lemma	χραισμε σιδηρειη· πριν γαρ λυκοοργος υποφθας·
urn:cts:greekLit:tlg5026.msA.normed:7.1010.comment	οτι αντι του υποφθασας ιακως , αρισταρχος δε φησι. και αναστας . οιον εκ λοχου αναστας ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1011.lemma	τευχεα τ' εξεναριξε
urn:cts:greekLit:tlg5026.msA.normed:7.1011.comment	οτι κυριως το εξεναριξεν νυν τα εναρα περιειλεν ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1012.lemma	δωκ' ε δ' ερευθαλιωνι ·
urn:cts:greekLit:tlg5026.msA.normed:7.1012.comment	οτι ουτως ειωθε φραζειν και οτι περιττος ο δε. τινες δε γραφουσι δωκεν ερευθαλιωνι ·
urn:cts:greekLit:tlg5026.msA.normed:7.1017.lemma	‡ θαρσει ω
urn:cts:greekLit:tlg5026.msA.normed:7.1017.comment	οτι ζηνοδοτος θαρσει εμω αδιανοητον δε γινεται: η ψυχη νεαν επεισε τω θαρσει τω εμω ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1018.lemma	πολλος·
urn:cts:greekLit:tlg5026.msA.normed:7.1018.comment	απο των αριθμουμενων επι αμετρουμενα μεγεθη ως το τυμβον δε ου μαλα πολλον εσω πονεεσθαι ανωγα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1019.lemma	πολλος γαρ τις εκειτο παρηορος·
urn:cts:greekLit:tlg5026.msA.normed:7.1019.comment	σημειουνται τινες δια το παρηορος οτι παρηρτημενος και κεχυμενος ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1020.lemma	παρηορος·
urn:cts:greekLit:tlg5026.msA.normed:7.1020.comment	παρηωρημενος τω σωματι τουτεστιν εκλελυμενος εν αλλω νυν αντι του παρεωρουμενος και εις μηκος εκτεταμενος : λεγει δε ουτως ποτε. και τον παρεζευγμενον εκτος του ζυγου ιππον και τον αφρονα·
urn:cts:greekLit:tlg5026.msA.normed:7.1021.lemma	ως νεικεσσ' ο γερων:
urn:cts:greekLit:tlg5026.msA.normed:7.1021.comment	προς το νεικεσσεν οτι αντι του επεπληξεν ουδεποτε δε επι του εκρινεν ως εν τω ος νεικεσσεν τε θεας και οτι παρελκει συνηθως αυτω το παντες ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1022.lemma	τω δ' επι τυδειδης ,
urn:cts:greekLit:tlg5026.msA.normed:7.1022.comment	ουκ αναστρεπτεον την προθεσιν μεταξυ γαρ πεπτωκεν ο δε συνδεσμος ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1023.lemma	τοισι δ' επ' ευρυπυλος ·
urn:cts:greekLit:tlg5026.msA.normed:7.1023.comment	ουδε ενθαδε αναστρεπτεον. και οτι συνειληπται ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1024.lemma	κληρω νυν πεπαλασθε·
urn:cts:greekLit:tlg5026.msA.normed:7.1024.comment	οτι τηρει την διαφοραν του κληρωσασθαι και λαχειν. και προς το λαχησιν οτι ος αν λαχη: η δε αναφορα προς το ιχθυς ος κε φαγησι προς φιλιταν ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1025.lemma	πεπαλασθε·
urn:cts:greekLit:tlg5026.msA.normed:7.1025.comment	οιον κληρω διακληρωσασθε απο του αναπαλλεσθαι τους κληρους. πεπαλασθε λεγει. το δε και ως κε λαχησι τινες δε γραφουσι δια του ω . ινα λειπη το τις ως πολλαχου παρ' αυτω ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1026.lemma	κληρω νυν πεπαλασθε·
urn:cts:greekLit:tlg5026.msA.normed:7.1026.comment	στικτεον κατα το τελος του στιχου το δε εξης λεγομενον ουτος γαρ δη ονησει . ητοι περι του κληρου εστιν η του λαχοντος ο και βελτιον· επιφερει γαρ και δ' αυτος ον θυμον ονησεται: αλλως μεντοι τε υποπτος ουτος ο στιχος ην δυσελπιδας γαρ τουτους ποιει, το δε εν τω πρωτω στιχω δοκουν ακαταλληλον ειναι κληρωθητε ος εαν λαχησι , συνηθες ομηρω εστιν οιον κληρωθητε λαχοι γαρ αν τις, το δε διαμπερες προσκειται: αντι του διηνεκως οιον παντες: ταυτα δε τινες υπειδομενοι αφ' ετερας αρχης ποιουσιν αναγινωσκειν. διαμπερες ος κε λαχησιν. ουτος γαρ δη ονησει ιν' η το εξης. ουτος γαρ δη διαμπερες ονησει ος κε λαχησι : οι δε και ουτως. ος κε λαχησιν ουτος γαρ δη ονησει δηλον οτι μετα το διαμπερες στιζοντες: ταυτα ο νικανωρ ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1033.lemma	‡ θεοις, ιδε χειρας ανεσχον·
urn:cts:greekLit:tlg5026.msA.normed:7.1033.comment	ο ασκαλωνιτης διαστελλει: ιδε χειρας ανεσχον ως ιδε κλεος εσθλον αροιτο : ινα γενηται και χειρας ανεσχον: αλεξιων δε την κατειθισμενην παραλαμβανει: λαοι δ' ηρησαντο. θεοισι δε χειρας ανεσχον ουτως και οι περι ηρακλεωνα ουκ αποδοκιμαζει μεντοι την ετεραν ο αλεξιων και ημιν ουτως δοκει ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1034.lemma	ενδεξια·
urn:cts:greekLit:tlg5026.msA.normed:7.1034.comment	οτ αν αντι επιρρηματος η αντι του επιδεξιως ενδεξια τριτη απο τελους η οξεια ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1035.lemma	ος μιν επιγραψας:
urn:cts:greekLit:tlg5026.msA.normed:7.1035.comment	οτι ου γραμμασι της λεξεως αλλ' εγχαραξας σημεια: ει γαρ κοινως ηδεσαν γραμματα: εδει τον κηρυκα αναγνωναι και τους αλλους οις επεδεικνυτο ο κληρος ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1036.lemma	σιγη εφ' υμειων·
urn:cts:greekLit:tlg5026.msA.normed:7.1036.comment	εως του ελπομαι εν σαλαμινι στιχοι πεντε αθετουνται οτι ου κατα τον αιαντα οι λογοι και εαυτω ανθ' υποφερει γελοιως:
urn:cts:greekLit:tlg5026.msA.normed:7.1037.lemma	ουδε τ' αιδρειη:
urn:cts:greekLit:tlg5026.msA.normed:7.1037.comment	δια του ι ειχον αι αρισταρχου : η δε αριστοφανους ουδε μεν ιδρειη . ηθετηντο δε και παρα αριστοφανει , και ζηνοδοτω ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1038.lemma	επει ουδ' εμε,
urn:cts:greekLit:tlg5026.msA.normed:7.1038.comment	εν ορθη τασει αναγνωστεον ινα η αντιδιαστολη προς απειρα πολεμου τινα προσωπα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1039.lemma	γενεσθαι τε·
urn:cts:greekLit:tlg5026.msA.normed:7.1039.comment	αλλ' επαλληλοι οξειαι καιτοι σπονδειακον εστιν. αλλ' ισως ινα εκφυγωμεν τον διπλασιασμον του ρηματος λεγω δε του τετραφεμεν τε ως και εν τη τ της παραλογως ενεκλιναμεν, εν τω ηωθεν δε μαλ' ηρη λοεσσαι τε χρισεν τε ινα μη πληθυντικον ρημα υπολαβωμεν ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1049.lemma	‡ ζευ πατερ ιδηθεν·
urn:cts:greekLit:tlg5026.msA.normed:7.1049.comment	οτι το θεν παρελκει νυν εστι γαρ αντι του ιδης :
urn:cts:greekLit:tlg5026.msA.normed:7.1050.lemma	σκυτοτομων οχ' αριστος υλη ενι οικια ναιων:
urn:cts:greekLit:tlg5026.msA.normed:7.1050.comment	οτι ενταυθα συνεσταλμενως: εν δε τω καταλογω εκτεταμενως ηδ' υλην και πετεωνα ·
urn:cts:greekLit:tlg5026.msA.normed:7.1057.lemma	‡ ρηξηνορα·
urn:cts:greekLit:tlg5026.msA.normed:7.1057.comment	τον ρηγνυντα τη ηνορεη του τουτεστη . τη ανδρεια, η τον ρεξαι τι ητοι προξαι τη ηνορεη δυναμενον. τουτεστι τη ανδρεια·
urn:cts:greekLit:tlg5026.msA.normed:7.1058.lemma	βων·
urn:cts:greekLit:tlg5026.msA.normed:7.1058.comment	ουτως αι αρισταρχου βων συν τω ν η αριστοφανους βουν τινες δε εξω του ν βω , και μηποτε πιθανως αντι του βοα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1059.lemma	βων·
urn:cts:greekLit:tlg5026.msA.normed:7.1059.comment	βουν δωρικως την ασπιδα οτι εκ βοειων εστι δερματων συνεκδοχικως τω οπλω ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.1060.lemma	αζαλεην·
urn:cts:greekLit:tlg5026.msA.normed:7.1060.comment	οτι την ασπιδα ξηραν λεγει βων δια το εκ βοειων ειναι δερματων και οτι προταξας θηλυκον ουδετερον επηνεγκεν:  το μοι εστι  προς το σημαινομενον: το δε ταλαυρινον παρηκται ευτολμον ου γαρ η ρινος εγκειται ως ωηθησαν τινες.
urn:cts:greekLit:tlg5026.msA.normed:7.1061.lemma	μελπεσθαι·
urn:cts:greekLit:tlg5026.msA.normed:7.1061.comment	κυριως μεν παιζειν η τερπεσθαι. νυν δε οιον κινεισθαι ευχερως και εμπειρως κατα την μαχην ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.2000.lemma	‡ τω δ' εκσπασσαμενω δολιχ' εγχεα.
urn:cts:greekLit:tlg5026.msA.normed:7.2000.comment	οτι κυριως εγχη τα δορατα· ουχ ως τινες τα ξιφη λεγει δε τα ενεχομενα ταις ασπισι α προηκαντο·
urn:cts:greekLit:tlg5026.msA.normed:7.2001.lemma	τω δ' εκσπασσαμενω
urn:cts:greekLit:tlg5026.msA.normed:7.2001.comment	συν ρ' επεσσον η συσι καπροισιν τους στιχους τουτους ου προσιενται ενιοι ωσπερ ουδε ζηνοδοτος · αλλα το της συνεπειας ουτως εχει παρ αυτω ωσπερ και ο αριστονικος εκτιθησιν ην περιττον ενομισαμεν γραψαι·
urn:cts:greekLit:tlg5026.msA.normed:7.2002.lemma	‡ και νυ κε·
urn:cts:greekLit:tlg5026.msA.normed:7.2002.comment	οτι αρτιως επι τοις ξιφεσι χρησθαι εληλυθασιν οταν δε λεγη τω δ' εκσπασσαμενω δολιχ' εγχεα τα δορατα λεγει εκ των ασπιδων απεσπασαντο ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.2003.lemma	ταλθυβιος τε και ιδαιος ·
urn:cts:greekLit:tlg5026.msA.normed:7.2003.comment	ο μεν ιδαιος εικοτως προσερχεται τον εκτορα σωσων κινδυνευοντα· ο δε ταλθυβιος ουκετι την νικην του αιαντος προαιρουμενος, αλλ' ουδεπω ακριβης ην η νικη περι τον αιαντα · επι ξιφη γαρ αυτους ορμησαι λεγει ετι τε και τον εκτορα ορων υπο θεων βοηθουμενον: και δια το της νυκτος καταστημα ενθα τυχης ου τεχνης κρισις, απο ισου γαρ η κρισης·
urn:cts:greekLit:tlg5026.msA.normed:7.2009.lemma	νυξ δ' ηδη τελεθει:
urn:cts:greekLit:tlg5026.msA.normed:7.2009.comment	οτι εντευθεν εις τα εξης μετενηνεκται· ο μεν γαρ κηρυξ αιτιαν λεγει, δι ην ου πολεμητεον· ο δε εκτωρ ε αυτον μετα προφασεως μη συλλυετω ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.2010.lemma	πιθεσθαι ·
urn:cts:greekLit:tlg5026.msA.normed:7.2010.comment	παροξυντεον μεσος γαρ εστι β αοριστος·
urn:cts:greekLit:tlg5026.msA.normed:7.2011.lemma	και πινυτην περι δ' εγχει ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.2011.comment	αρισταρχος ως καλην και επεκρατησεν ουτως η παραδοσις υποστικτεον πινυτην , ινα περισσος ο συνδεσμος η. η υποστικτεον και κατα το τελος του στιχου ινα γενηται ανταποδοσις, αυτη, νυν μεν παυσωμεσθα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.2012.lemma	σους τε μαλιστα ετας:
urn:cts:greekLit:tlg5026.msA.normed:7.2012.comment	αθετειται ως καθαιρων τα προειρημενα ωσ συ τ' ευφρηνεις παντας . εχει δε και δια λογιαν ετας και εταιρους ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.2013.lemma	‡ αι τε μοι ευχομεναι θειον δυσονται αγωνα·
urn:cts:greekLit:tlg5026.msA.normed:7.2013.comment	οτι ουτως την αγυρον και συναγωγην των θεων δια το πολλων θεων εν ταυτω ειναι αγαλματα ⁑
urn:cts:greekLit:tlg5026.msA.normed:7.2019.lemma	‡ ως αρα φωνησας·
urn:cts:greekLit:tlg5026.msA.normed:7.2019.comment	σημειουνται τινες οτι αφωπλισεν εαυτον δους το ξιφος ο εκτωρ .
urn:cts:greekLit:tlg5026.msA.normed:7.2020.lemma	φοινικι φαεινον·
urn:cts:greekLit:tlg5026.msA.normed:7.2020.comment	οτι αντι του φοινικω ανθει πεφωτισμενον εστι κεχρωτισμενον·
urn:cts:greekLit:tlg5026.msA.normed:7.2021.lemma	τω δε διακρινθεντε·
urn:cts:greekLit:tlg5026.msA.normed:7.2021.comment	ουτως ειρηκεν αντι του των δε διακριθεντων · ο μεν ο δε· και οτι προς το δευτερον προτερον απηντηκεν·
urn:cts:greekLit:tlg5026.msA.normed:7.2022.lemma	αρτεμεα·
urn:cts:greekLit:tlg5026.msA.normed:7.2022.comment	οιον ανελπιστον πραγμα· καλως δε επι μεν εκτορος την ανελπιστον σωτηριαν εδηλωσεν, επι δε αιαντος . την επι τη νικη ηδονην·
